scenario,unmet_no,unmet_greedy,unmet_lp,srv_no,srv_greedy,srv_lp
151,245.000000,3.111111,3.111111,0.799673,0.997456,0.997456
152,259.000000,17.888889,17.888889,0.778443,0.984697,0.984697
153,268.000000,28.888889,28.888889,0.779605,0.976243,0.976243
154,259.000000,12.777778,12.777778,0.774587,0.988879,0.988879
155,247.000000,14.111111,14.111111,0.786885,0.987825,0.987825
156,239.000000,10.888889,10.888889,0.797286,0.990764,0.990764
157,277.000000,28.333333,28.333333,0.754433,0.974882,0.974882
158,275.000000,24.333333,24.333333,0.774590,0.980055,0.980055
159,260.000000,12.777778,12.777778,0.785301,0.989449,0.989449
160,244.000000,17.444444,17.444444,0.785777,0.984684,0.984684
161,308.000000,52.000000,52.000000,0.756329,0.958861,0.958861
162,254.000000,7.111111,7.111111,0.781599,0.993886,0.993886
163,275.000000,43.666667,43.666667,0.771215,0.963672,0.963672
164,257.000000,11.555556,11.555556,0.789171,0.990520,0.990520
165,263.000000,28.666667,28.666667,0.775597,0.975540,0.975540
166,267.000000,23.222222,23.222222,0.767219,0.979754,0.979754
167,255.000000,18.666667,18.666667,0.783531,0.984154,0.984154
168,270.000000,22.111111,22.111111,0.765828,0.980823,0.980823
169,237.000000,16.000000,16.000000,0.800840,0.986555,0.986555
170,306.000000,52.111111,52.111111,0.760188,0.959161,0.959161
171,266.000000,19.111111,19.111111,0.783388,0.984437,0.984437
172,247.000000,7.222222,7.222222,0.784843,0.993709,0.993709
173,239.000000,16.444444,16.444444,0.784296,0.985158,0.985158
174,258.000000,13.666667,13.666667,0.772887,0.987969,0.987969
175,260.000000,20.777778,20.777778,0.772727,0.981838,0.981838
176,265.000000,13.444444,13.444444,0.769365,0.988299,0.988299
177,262.000000,15.777778,15.777778,0.773160,0.986340,0.986340
178,244.000000,6.444444,6.444444,0.792340,0.994515,0.994515
179,254.000000,15.777778,15.777778,0.783830,0.986572,0.986572
180,260.000000,17.444444,17.444444,0.779848,0.985229,0.985229
181,266.000000,23.111111,23.111111,0.777406,0.980660,0.980660
182,288.000000,29.333333,29.333333,0.763934,0.975956,0.975956
183,230.000000,21.111111,21.111111,0.802913,0.981910,0.981910
184,266.000000,19.666667,19.666667,0.770492,0.983031,0.983031
185,254.000000,21.333333,21.333333,0.784380,0.981890,0.981890
186,246.000000,6.777778,6.777778,0.776160,0.993833,0.993833
187,233.000000,6.888889,6.888889,0.800000,0.994087,0.994087
188,265.000000,22.444444,22.444444,0.784378,0.981738,0.981738
189,264.000000,26.111111,26.111111,0.764915,0.976749,0.976749
190,239.000000,8.888889,8.888889,0.794143,0.992344,0.992344
191,255.000000,9.333333,9.333333,0.783898,0.992090,0.992090
192,265.000000,17.666667,17.666667,0.770165,0.984678,0.984678
193,285.000000,37.777778,37.777778,0.775059,0.970183,0.970183
194,284.000000,34.111111,34.111111,0.757472,0.970870,0.970870
195,288.000000,32.777778,32.777778,0.763353,0.973067,0.973067
196,275.000000,40.444444,40.444444,0.770067,0.966184,0.966184
197,266.000000,19.444444,19.444444,0.779436,0.983877,0.983877
198,284.000000,31.000000,31.000000,0.761144,0.973928,0.973928
199,261.000000,28.222222,28.222222,0.782681,0.976501,0.976501
200,246.000000,6.777778,6.777778,0.777376,0.993866,0.993866
