0.000000,1.040000,1.910000,17.100000,0.650000,0.700000,1.230000,1.450000,2.270000,10.830000,0.750000,0.950000,1.420000,1.700000,1.030000,1.450000,2.610000,2.500000,0.950000,1.800000,2.820000,1.710000,2.280000,0.880000,1.850000,1.790000,1.600000,0.970000,2.590000,2.100000,2.500000,3.720000,1.800000,0.920000,1.500000,3.420000,3.040000,2.755000,3.445000,2.980000,2.700000,1.350000,5.470000,3.055000,4.300000,6.100000,5.600000,9.505000,3.700000,5.850000
1.010000,0.000000,1.020000,18.140000,0.950000,1.420000,2.300000,1.260000,1.770000,9.620000,0.900000,1.600000,2.400000,2.870000,1.800000,0.710000,3.400000,3.550000,1.840000,0.880000,2.180000,2.400000,1.170000,1.020000,3.040000,2.870000,1.100000,1.910000,3.480000,3.000000,1.450000,5.570000,1.650000,1.440000,2.180000,4.760000,3.810000,3.900000,2.790000,3.800000,1.710000,2.040000,7.480000,4.140000,3.510000,7.000000,6.530000,9.730000,3.100000,6.730000
1.900000,1.000000,0.000000,19.000000,1.780000,2.470000,3.300000,1.910000,1.410000,8.750000,1.690000,2.590000,3.400000,3.760000,2.860000,1.100000,4.860000,4.560000,2.790000,1.320000,1.400000,3.500000,0.680000,1.980000,4.130000,3.800000,1.100000,2.985000,4.585000,3.960000,0.860000,7.630000,2.250000,2.580000,3.530000,6.100000,5.915000,5.195000,1.800000,5.020000,0.870000,2.970000,8.600000,6.300000,2.600000,8.220000,7.565000,8.400000,2.180000,7.710000
17.580000,18.400000,19.260000,0.000000,17.180000,17.860000,17.700000,19.290000,20.720000,11.430000,18.120000,16.860000,17.680000,17.960000,18.050000,19.000000,18.150000,18.860000,17.200000,19.610000,20.160000,17.470000,19.020000,17.405000,18.260000,18.060000,18.420000,17.480000,18.630000,18.350000,19.000000,20.070000,20.000000,16.910000,17.100000,18.070000,18.400000,19.150000,19.970000,18.915000,18.600000,18.690000,22.285000,19.260000,19.010000,21.850000,20.800000,11.210000,19.490000,21.275000
0.670000,0.960000,1.790000,16.630000,0.000000,0.900000,1.370000,1.710000,2.590000,10.030000,0.980000,0.840000,1.580000,1.880000,1.230000,1.180000,2.330000,2.630000,1.100000,1.540000,3.100000,1.430000,1.930000,0.710000,1.980000,1.900000,1.700000,1.020000,2.600000,2.200000,2.200000,3.800000,2.105000,0.790000,1.100000,3.290000,2.930000,2.860000,3.700000,3.000000,2.610000,1.600000,6.290000,3.100000,4.540000,5.930000,5.300000,9.105000,4.080000,5.380000
0.750000,1.480000,2.450000,17.460000,0.920000,0.000000,0.950000,1.130000,1.930000,11.130000,0.760000,1.200000,1.690000,1.280000,0.730000,1.900000,2.950000,2.200000,1.120000,2.170000,2.500000,2.060000,2.750000,1.200000,1.400000,1.490000,1.740000,0.710000,2.730000,2.340000,2.960000,3.800000,1.500000,1.200000,1.840000,3.700000,3.330000,2.410000,3.190000,3.100000,3.400000,0.960000,4.730000,2.850000,4.120000,5.120000,5.800000,10.110000,3.420000,5.950000
1.230000,2.400000,3.400000,17.090000,1.580000,1.040000,0.000000,2.000000,2.910000,9.990000,1.500000,1.000000,0.900000,0.890000,1.070000,2.820000,2.170000,1.290000,0.690000,3.140000,3.645000,1.330000,3.730000,2.110000,0.950000,0.700000,2.600000,0.600000,1.900000,1.550000,3.920000,2.690000,2.390000,1.500000,1.200000,2.900000,2.500000,1.490000,4.400000,2.180000,4.250000,1.600000,3.620000,1.970000,5.380000,3.920000,4.800000,9.400000,4.700000,4.870000
1.410000,1.300000,2.080000,18.605000,1.600000,1.040000,1.900000,0.000000,0.980000,10.895000,0.820000,2.290000,2.800000,1.880000,0.980000,1.700000,4.090000,3.110000,2.110000,1.980000,1.490000,3.200000,2.400000,1.770000,2.000000,2.500000,1.310000,1.580000,3.800000,3.440000,2.640000,4.900000,0.720000,2.240000,3.020000,5.190000,4.480000,3.240000,2.050000,4.200000,2.790000,1.050000,5.260000,4.250000,2.790000,5.695000,6.530000,9.810000,2.310000,6.640000
2.210000,1.700000,1.480000,20.500000,2.450000,1.810000,2.730000,0.870000,0.000000,10.310000,1.560000,3.140000,3.700000,2.670000,1.700000,1.970000,5.210000,4.100000,2.990000,2.250000,0.800000,4.100000,1.800000,2.600000,2.700000,3.400000,1.290000,2.410000,4.800000,4.355000,2.000000,5.500000,0.850000,3.130000,4.080000,6.665000,5.510000,4.130000,1.220000,5.225000,2.140000,1.660000,5.800000,4.915000,1.950000,6.420000,7.445000,9.580000,1.520000,7.545000
10.080000,9.550000,8.460000,12.120000,9.320000,10.100000,9.340000,10.500000,9.930000,0.000000,10.380000,8.580000,9.400000,9.650000,10.020000,9.140000,9.850000,10.630000,8.890000,8.990000,9.290000,9.180000,8.130000,9.600000,10.080000,9.770000,9.890000,9.200000,10.300000,10.115000,8.130000,12.000000,10.820000,8.700000,8.740000,9.705000,10.100000,10.975000,9.020000,10.690000,7.730000,11.390000,14.290000,11.000000,8.140000,13.770000,12.700000,1.240000,8.630000,13.200000
